titles,links,default price,promotional_price,rating,num_reviews,num_sold,num_available,num_like,detrailed_product
"Quần Tây Nam AVIANO Có Bộ Chỉnh Cạp, Quần Âu Nam Công Sở Chất Kaki",https://shopee.vn/Qu%E1%BA%A7n-T%C3%A2y-Nam-AVIANO-C%C3%B3-B%E1%BB%99-Ch%E1%BB%89nh-C%E1%BA%A1p-Qu%E1%BA%A7n-%C3%82u-Nam-C%C3%B4ng-S%E1%BB%9F-Ch%E1%BA%A5t-Kaki-i.40342563.15899389040?sp_atk=3ced1dfb-9420-48e6-884f-a8efb1a879f0&xptdk=3ced1dfb-9420-48e6-884f-a8efb1a879f0,₫350.000,₫239.000,4.9,125,292,198883 sản phẩm có sẵn,Đã thích (53),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Dài/Quần Âu\nQuần Âu', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chất liệu': 'kaki', 'Mẫu': 'Trơn', 'Kho hàng': '198883', 'Gửi từ': 'Hà Nội'}"
Quần Short Kaki Nam Co Giãn Thiết Kế Phối Cạp Chun Cao Cấp AVIANO,https://shopee.vn/Qu%E1%BA%A7n-Short-Kaki-Nam-Co-Gi%C3%A3n-Thi%E1%BA%BFt-K%E1%BA%BF-Ph%E1%BB%91i-C%E1%BA%A1p-Chun-Cao-C%E1%BA%A5p-AVIANO-i.40342563.23550776994?sp_atk=03711078-6f5d-46fa-aad8-65bf2349460d&xptdk=03711078-6f5d-46fa-aad8-65bf2349460d,₫318.000,₫159.000,5.0,5,28,1249 sản phẩm có sẵn,Đã thích (4),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Short\nQuần Đùi/Quần Short', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Loại quần short': 'Jersey', 'Chất liệu': 'kaki', 'Mẫu': 'Trơn', 'Kho hàng': '1249', 'Gửi từ': 'Hà Nội'}"
Quần Short Gió Nam 4 Màu Thể Thao Thiết Kế Kiểu Dáng Năng Động Thời Trang AVIANO,https://shopee.vn/Qu%E1%BA%A7n-Short-Gi%C3%B3-Nam-4-M%C3%A0u-Th%E1%BB%83-Thao-Thi%E1%BA%BFt-K%E1%BA%BF-Ki%E1%BB%83u-D%C3%A1ng-N%C4%83ng-%C4%90%E1%BB%99ng-Th%E1%BB%9Di-Trang-AVIANO-i.40342563.22350771640?sp_atk=348cd595-94a1-4bf4-ad32-dc96265e3e62&xptdk=348cd595-94a1-4bf4-ad32-dc96265e3e62,₫238.000,₫89.000,5.0,3,12,3763 sản phẩm có sẵn,Đã thích (3),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Short\nQuần Đùi/Quần Short', 'Thương hiệu': 'AVIANO', 'Loại quần short': 'Jersey', 'Kho hàng': '3763', 'Gửi từ': 'Hà Nội'}"
"Combo 3 Quần Lót Nam AVIANO Cotton Compact Co Giãn 4 Chiều, Quần Sịp Nam Boxer Thoáng Khí",https://shopee.vn/Combo-3-Qu%E1%BA%A7n-L%C3%B3t-Nam-AVIANO-Cotton-Compact-Co-Gi%C3%A3n-4-Chi%E1%BB%81u-Qu%E1%BA%A7n-S%E1%BB%8Bp-Nam-Boxer-Tho%C3%A1ng-Kh%C3%AD-i.40342563.23875798120?sp_atk=6d388959-13cc-4048-8e9e-29ad31e9ff49&xptdk=6d388959-13cc-4048-8e9e-29ad31e9ff49,₫338.000,₫150.000,5.0,568,"1,3k",500 sản phẩm có sẵn,Đã thích (110),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Lót\nQuần Lót', 'Thương hiệu': 'AVIANO', 'Chất liệu': 'Cotton', 'Số lượng hàng khuyến mãi': '500', 'Số sản phẩm còn lại': '488395', 'Gửi từ': 'Hà Nội'}"
"Quần Đùi Nam AVIANO Thể Thao Chất Vải Gió Cạp Chun, Quần Short Nam Co Giãn Có Túi Khóa Kéo",https://shopee.vn/Qu%E1%BA%A7n-%C4%90%C3%B9i-Nam-AVIANO-Th%E1%BB%83-Thao-Ch%E1%BA%A5t-V%E1%BA%A3i-Gi%C3%B3-C%E1%BA%A1p-Chun-Qu%E1%BA%A7n-Short-Nam-Co-Gi%C3%A3n-C%C3%B3-T%C3%BAi-Kh%C3%B3a-K%C3%A9o-i.40342563.22850191597?sp_atk=0d8ac85f-ac47-4929-8898-41cb4082da1d&xptdk=0d8ac85f-ac47-4929-8898-41cb4082da1d,₫238.000,₫109.000,5.0,272,643,490 sản phẩm có sẵn,Đã thích (33),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Short\nQuần Đùi/Quần Short', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Loại quần short': 'Jersey', 'Mẫu': 'Trơn', 'Kho hàng': '490', 'Gửi từ': 'Hà Nội'}"
"Quần Lót Nam AVIANO Cotton Compact Co Giãn 4 Chiều, Quần Sịp Nam Boxer Thoáng Khí",https://shopee.vn/Qu%E1%BA%A7n-L%C3%B3t-Nam-AVIANO-Cotton-Compact-Co-Gi%C3%A3n-4-Chi%E1%BB%81u-Qu%E1%BA%A7n-S%E1%BB%8Bp-Nam-Boxer-Tho%C3%A1ng-Kh%C3%AD-i.40342563.22649994517?sp_atk=0cbde848-7e21-42ed-8168-1c50429f782e&xptdk=0cbde848-7e21-42ed-8168-1c50429f782e,₫138.000,₫65.000,5.0,289,808,14036 sản phẩm có sẵn,Đã thích (51),"{'Danh Mục': 'Shopee\nThời Trang Nam\nĐồ Lót\nQuần Lót', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chất liệu': 'Cotton', 'Kho hàng': '14036', 'Gửi từ': 'Hà Nội'}"
"Quần Short Nam AVIANO Vải Kaki, Quần Đùi Nam Cạp Cúc Màu Basic",https://shopee.vn/Qu%E1%BA%A7n-Short-Nam-AVIANO-V%E1%BA%A3i-Kaki-Qu%E1%BA%A7n-%C4%90%C3%B9i-Nam-C%E1%BA%A1p-C%C3%BAc-M%C3%A0u-Basic-i.40342563.17295496634?sp_atk=2ad888dd-4672-418c-ac4b-9aa4577d3a77&xptdk=2ad888dd-4672-418c-ac4b-9aa4577d3a77,₫318.000,₫149.000,5.0,350,687,358 sản phẩm có sẵn,Đã thích (64),"{'Danh Mục': 'Shopee\nThời Trang Nam\nQuần Short\nQuần Đùi/Quần Short', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Loại quần short': 'Bermudas', 'Chất liệu': 'kaki', 'Mẫu': 'Trơn', 'Kho hàng': '358', 'Gửi từ': 'Hà Nội'}"
"Áo 3 Lỗ Nam AVIANO Công Nghệ Dri-Air Thun Lạnh, Áo Thun Nam Thể Thao 6 Màu Basic",https://shopee.vn/%C3%81o-3-L%E1%BB%97-Nam-AVIANO-C%C3%B4ng-Ngh%E1%BB%87-Dri-Air-Thun-L%E1%BA%A1nh-%C3%81o-Thun-Nam-Th%E1%BB%83-Thao-6-M%C3%A0u-Basic-i.40342563.23075397391?sp_atk=eb90ecb6-ef77-460d-8578-0fcb659903ca&xptdk=eb90ecb6-ef77-460d-8578-0fcb659903ca,₫198.000,₫95.000,4.8,9,80,489 sản phẩm có sẵn,Đã thích (6),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Ba Lỗ', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Kho hàng': '489', 'Gửi từ': 'Hà Nội'}"
"Áo Ba Lỗ Nam AVIANO Công Nghệ Dri-Air Thể Thao Thun Lạnh, Áo Thun Nam Co Giãn, Thoáng Khí",https://shopee.vn/%C3%81o-Ba-L%E1%BB%97-Nam-AVIANO-C%C3%B4ng-Ngh%E1%BB%87-Dri-Air-Th%E1%BB%83-Thao-Thun-L%E1%BA%A1nh-%C3%81o-Thun-Nam-Co-Gi%C3%A3n-Tho%C3%A1ng-Kh%C3%AD-i.40342563.18091388581?sp_atk=ec612892-1314-4ea6-adfc-1eee0206ddc9&xptdk=ec612892-1314-4ea6-adfc-1eee0206ddc9,₫198.000,₫89.000,5.0,488,"1,6k",240 sản phẩm có sẵn,Đã thích (170),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo Ba Lỗ', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Số lượng hàng khuyến mãi': '240', 'Số sản phẩm còn lại': '237869', 'Gửi từ': 'Hà Nội'}"
"Áo Polo Thể Thao AVIANO Microfiber Dryfit, Áo Thể Thao Nam Chất Liệu Thun Lạnh",https://shopee.vn/%C3%81o-Polo-Th%E1%BB%83-Thao-AVIANO-Microfiber-Dryfit-%C3%81o-Th%E1%BB%83-Thao-Nam-Ch%E1%BA%A5t-Li%E1%BB%87u-Thun-L%E1%BA%A1nh-i.40342563.19282020823?sp_atk=bdb37c5e-5994-4694-ad04-0ef9d5e63d05&xptdk=bdb37c5e-5994-4694-ad04-0ef9d5e63d05,₫398.000,₫169.000,5.0,10,31,261 sản phẩm có sẵn,Đã thích (5),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '261', 'Gửi từ': 'Hà Nội'}"
"Áo Polo Thể Thao AVIANO Công nghệ Microfiber Dryfit, Áo Polo Nam Chất Liệu Thun Lạnh, 5 Màu Basic",https://shopee.vn/%C3%81o-Polo-Th%E1%BB%83-Thao-AVIANO-C%C3%B4ng-ngh%E1%BB%87-Microfiber-Dryfit-%C3%81o-Polo-Nam-Ch%E1%BA%A5t-Li%E1%BB%87u-Thun-L%E1%BA%A1nh-5-M%C3%A0u-Basic-i.40342563.21382009225?sp_atk=188128c5-8044-4810-9ba7-907cd7ebd7bb&xptdk=188128c5-8044-4810-9ba7-907cd7ebd7bb,₫398.000,₫169.000,4.9,18,59,441 sản phẩm có sẵn,Đã thích (11),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '441', 'Gửi từ': 'Hà Nội'}"
"Áo Polo Thể Thao Nam Công Nghệ Microfiber Dryfit Siêu Mát AVIANO, Áo Polo Nam Chất Liệu Thoáng Khí, 5 Màu Basic",https://shopee.vn/%C3%81o-Polo-Th%E1%BB%83-Thao-Nam-C%C3%B4ng-Ngh%E1%BB%87-Microfiber-Dryfit-Si%C3%AAu-M%C3%A1t-AVIANO-%C3%81o-Polo-Nam-Ch%E1%BA%A5t-Li%E1%BB%87u-Tho%C3%A1ng-Kh%C3%AD-5-M%C3%A0u-Basic-i.40342563.22448681012?sp_atk=d4f30440-b977-4756-86a5-02b6f1f206a0&xptdk=d4f30440-b977-4756-86a5-02b6f1f206a0,₫398.000,₫169.000,5.0,370,570,702 sản phẩm có sẵn,Đã thích (53),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '702', 'Gửi từ': 'Hà Nội'}"
"Áo Polo Thể Thao Nam Microfiber Dryfit Siêu Mát AVIANO, Áo Polo Nam Chất Liệu Thoáng Khí 5 Màu Basic",https://shopee.vn/%C3%81o-Polo-Th%E1%BB%83-Thao-Nam-Microfiber-Dryfit-Si%C3%AAu-M%C3%A1t-AVIANO-%C3%81o-Polo-Nam-Ch%E1%BA%A5t-Li%E1%BB%87u-Tho%C3%A1ng-Kh%C3%AD-5-M%C3%A0u-Basic-i.40342563.22374083292?sp_atk=73d73822-71b2-43ea-8a77-3fb2f0997cc7&xptdk=73d73822-71b2-43ea-8a77-3fb2f0997cc7,₫398.000,₫169.000,4.8,11,19,441 sản phẩm có sẵn,Đã thích (2),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Polo', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Mẫu': 'Trơn', 'Kho hàng': '441', 'Gửi từ': 'Hà Nội'}"
"Áo Thun Thể Thao Nam Công Nghệ Dri-Air Siêu Mát, Thiết Kế  AVIANO Sọc Vai, Áo Thun Nam Thoáng Khí, Thoải Mái Vận Động",https://shopee.vn/%C3%81o-Thun-Th%E1%BB%83-Thao-Nam-C%C3%B4ng-Ngh%E1%BB%87-Dri-Air-Si%C3%AAu-M%C3%A1t-Thi%E1%BA%BFt-K%E1%BA%BF-AVIANO-S%E1%BB%8Dc-Vai-%C3%81o-Thun-Nam-Tho%C3%A1ng-Kh%C3%AD-Tho%E1%BA%A3i-M%C3%A1i-V%E1%BA%ADn-%C4%90%E1%BB%99ng-i.40342563.20381279128?sp_atk=1a292131-227e-4e2f-b324-17af25d7372a&xptdk=1a292131-227e-4e2f-b324-17af25d7372a,₫300.000,₫129.000,4.9,36,113,368 sản phẩm có sẵn,Đã thích (7),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Thun', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Cổ áo': 'Cổ tròn', 'Mẫu': 'Sọc', 'Kho hàng': '368', 'Gửi từ': 'Hà Nội'}"
"Áo Thun Thể Thao Nam Công Nghệ Dri-Air Siêu Mát Thiết Kế AVIANO, Áo Thun Nam Thoáng Khí, Thoải Mái Vận Động",https://shopee.vn/%C3%81o-Thun-Th%E1%BB%83-Thao-Nam-C%C3%B4ng-Ngh%E1%BB%87-Dri-Air-Si%C3%AAu-M%C3%A1t-Thi%E1%BA%BFt-K%E1%BA%BF-AVIANO-%C3%81o-Thun-Nam-Tho%C3%A1ng-Kh%C3%AD-Tho%E1%BA%A3i-M%C3%A1i-V%E1%BA%ADn-%C4%90%E1%BB%99ng-i.40342563.22846635259?sp_atk=bb9b0ae1-6b7e-445a-9965-fd5e0f1d2b0a&xptdk=bb9b0ae1-6b7e-445a-9965-fd5e0f1d2b0a,₫300.000,₫109.000,5.0,10,25,28 sản phẩm có sẵn,Đã thích (4),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Thun', 'Thương hiệu': 'AVIANO', 'Chiều dài tay áo': 'Tay ngắn', 'Cổ áo': 'Cổ tròn', 'Mẫu': 'In', 'Kho hàng': '28', 'Gửi từ': 'Hà Nội'}"
"Áo Thun Thể Thao Nam Công Nghệ Dri-Air Siêu Mát AVIANO, Thiết Kế Sọc Vai, Áo Thun Nam Thoáng Khí, Thoải Mái Vận Động",https://shopee.vn/%C3%81o-Thun-Th%E1%BB%83-Thao-Nam-C%C3%B4ng-Ngh%E1%BB%87-Dri-Air-Si%C3%AAu-M%C3%A1t-AVIANO-Thi%E1%BA%BFt-K%E1%BA%BF-S%E1%BB%8Dc-Vai-%C3%81o-Thun-Nam-Tho%C3%A1ng-Kh%C3%AD-Tho%E1%BA%A3i-M%C3%A1i-V%E1%BA%ADn-%C4%90%E1%BB%99ng-i.40342563.17095115887?sp_atk=2d55abb7-785c-44bb-9db6-0d32289900a0&xptdk=2d55abb7-785c-44bb-9db6-0d32289900a0,₫300.000,₫150.000,4.9,"1,3k","3,9k",187779 sản phẩm có sẵn,Đã thích (699),"{'Danh Mục': 'Shopee\nThời Trang Nam\nÁo\nÁo Thun', 'Thương hiệu': 'AVIANO', 'Xuất xứ': 'Việt Nam', 'Chiều dài tay áo': 'Tay ngắn', 'Cổ áo': 'Cổ tròn', 'Mẫu': 'Sọc', 'Kho hàng': '187779', 'Gửi từ': 'Hà Nội'}"
