shopid,userid,last_active_time,vacation,place,account,is_shopee_verified,is_preferred_plus_seller,is_official_shop,shop_location,item_count,rating_star,response_rate,session_info,name,ctime,response_time,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal,session_infos,show_shopee_mission,status,is_individual_seller,is_3pf
40342563,40343949,1698898446,False,"Quận Thanh Xuân, Hà Nội","{'portrait': '9439d537460fba30c1c9703e200099d5', 'username': 'sp.btw2', 'status': 1}",False,False,True,Hà Nội,241,4.855077,100,"{'is_show': True, 'session_id': 7150101, 'view_count': 6, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-76789-7150101_spehqld.flv?auditkey=1.0~kKR8hnSSixvjv3aCN_iCKb2uCDUhn3H7yQLP28vCz0te4DmpWNE6PbTmf9xm6Js2xDLW4kKAqi_VqI9C0n8Lvw~6b57f839191395d690e9f4e31069c2342af78161dce89e552cfeca00e14c15dd&cdnID=HUAWEI&expire_ts=1698900448', 'preview_image': 'vn-11134104-7r98o-lnk0irqu4mt67a'}",Aviano Menswear,1508990028,5707,1216614,True,4884,425445,11400,"[{'is_show': True, 'session_id': 7150101, 'view_count': 6, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-76789-7150101_spehqld.flv?auditkey=1.0~kKR8hnSSixvjv3aCN_iCKb2uCDUhn3H7yQLP28vCz0te4DmpWNE6PbTmf9xm6Js2xDLW4kKAqi_VqI9C0n8Lvw~6b57f839191395d690e9f4e31069c2342af78161dce89e552cfeca00e14c15dd&cdnID=HUAWEI&expire_ts=1698900448', 'preview_image': 'vn-11134104-7r98o-lnk0irqu4mt67a'}]",False,1,,False
225909574,225913958,1698898645,False,"Quận Bình Tân, TP. Hồ Chí Minh","{'portrait': 'b437d796ff3285c92489aa8b7172eb11', 'username': 'poloman.vn', 'status': 1}",False,False,True,TP. Hồ Chí Minh,163,4.955548,100,"{'is_show': True, 'session_id': 7150718, 'view_count': 16, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-847159094090243-7150718_spehqld.flv?auditkey=1.0~W8c3-7RrYyYBdphJ92dpTf3jWS-boiNOz9Q7pRLF4alzZUDvrxUc_o8Dba23FLypQo9Mpx7EuYx-MFF3BsltLbaQaVE5aE5Bu22jRG0Ipuo~4ee2fdb27e08595843d9a9309ba250fdebfc5d0b7aac15c2e82ce9b3967cc703&cdnID=BAISHAN&expire_ts=1698900454', 'preview_image': 'vn-11134104-7r98o-ll3gejtuyy7q2e'}",POLOMANOR,1581128946,4166,1012145,True,616,241254,1514,"[{'is_show': True, 'session_id': 7150718, 'view_count': 16, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-847159094090243-7150718_spehqld.flv?auditkey=1.0~W8c3-7RrYyYBdphJ92dpTf3jWS-boiNOz9Q7pRLF4alzZUDvrxUc_o8Dba23FLypQo9Mpx7EuYx-MFF3BsltLbaQaVE5aE5Bu22jRG0Ipuo~4ee2fdb27e08595843d9a9309ba250fdebfc5d0b7aac15c2e82ce9b3967cc703&cdnID=BAISHAN&expire_ts=1698900454', 'preview_image': 'vn-11134104-7r98o-ll3gejtuyy7q2e'}]",False,1,,False
68613764,68615221,1698898611,False,"Thành Phố Thủ Đức, TP. Hồ Chí Minh","{'portrait': 'd77b771bb9eca90f3533f6bdf47335ec', 'username': 'tsla.store', 'status': 1}",False,False,True,TP. Hồ Chí Minh,40,4.92395,96,"{'is_show': True, 'session_id': 7104551, 'view_count': 0, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-134599-7104551.flv?auditkey=1.0~-NvHquXLoyDIoiX5bCm1XrQla1AbUXQwZMlhY300yA_8XyLAB27eaxCvoIU4yQxjTDfTqb7RRYbk93_WrAIt2Q~0995f10db627c3eeb259535a200d57d34236c0863a5d21d7c156ce7a917ee2ef&cdnID=HUAWEI&expire_ts=1698900460', 'preview_image': 'vn-11134104-7qukw-lkden5dzlxgo51'}",TSLA Store Quần áo legging nam,1525771367,9844,133355,True,52,10803,119,"[{'is_show': True, 'session_id': 7104551, 'view_count': 0, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-134599-7104551.flv?auditkey=1.0~-NvHquXLoyDIoiX5bCm1XrQla1AbUXQwZMlhY300yA_8XyLAB27eaxCvoIU4yQxjTDfTqb7RRYbk93_WrAIt2Q~0995f10db627c3eeb259535a200d57d34236c0863a5d21d7c156ce7a917ee2ef&cdnID=HUAWEI&expire_ts=1698900460', 'preview_image': 'vn-11134104-7qukw-lkden5dzlxgo51'}]",False,1,,False
24710134,24711470,1698898640,False,"Quận Hà Đông, Hà Nội","{'portrait': '02cc55b581a1da07745c4e19070c0f16', 'username': 'coolmate.vn', 'status': 1}",False,False,True,Hà Nội,528,4.922729,99,"{'is_show': True, 'session_id': 7153288, 'view_count': 27, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-81269-7153288_spehqld.flv?auditkey=1.0~AptEmqkCFlup7HvpvaUMjG_Gporu4SILp9zjTmYHngdlECRkxjPsv2zvCJ2G9akt79__g4UTwNvcsLwCvp3HPg~5c2ec506d8720fe34a47d8b72bec959ecbf4c16773962d5b74f845c992103cb6&cdnID=HUAWEI&expire_ts=1698900465', 'preview_image': 'vn-11134104-7r98o-lnh56rzlh4od69'}",Coolmate - Official Store,1496846964,4825,1344867,True,1875,431471,5533,"[{'is_show': True, 'session_id': 7153288, 'view_count': 27, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-81269-7153288_spehqld.flv?auditkey=1.0~AptEmqkCFlup7HvpvaUMjG_Gporu4SILp9zjTmYHngdlECRkxjPsv2zvCJ2G9akt79__g4UTwNvcsLwCvp3HPg~5c2ec506d8720fe34a47d8b72bec959ecbf4c16773962d5b74f845c992103cb6&cdnID=HUAWEI&expire_ts=1698900465', 'preview_image': 'vn-11134104-7r98o-lnh56rzlh4od69'}]",False,1,,False
127217331,127219155,1698898648,False,"Quận Hoàng Mai, Hà Nội","{'portrait': '2501aa0421cd3a518ef7a6d6a4ad05dd', 'username': '5s_official', 'status': 1}",False,False,True,Hà Nội,343,4.928742,100,,5S FASHION OFFICIAL,1550474681,1590,919270,True,940,219680,2467,,False,1,,False
60297616,60299050,1698898608,False,"Quận Thanh Xuân, Hà Nội","{'portrait': 'cb728079eb53d35ae819ccb5e0b0fd96', 'username': 'rough.vn', 'status': 1}",False,False,True,Hà Nội,322,4.845475,72,"{'is_show': True, 'session_id': 7148088, 'view_count': 2, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-56091-7148088_spehqld.flv?auditkey=1.0~8z7xqDjNB39Rk6RmhzEv63E0i3RnnE73REhIAnncqOj8XuUmdogbOsyzmyEO4VHHqu8kE1QkXglllqnwXL8eaw~78fe518c37281f5c181641a52c2178a388e2c746779f4e16bafcdb6d176cda8b&cdnID=BAISHAN&expire_ts=1698900477', 'preview_image': 'vn-11134104-7qukw-lkc186vo2cv0fc'}",ROUGH,1520833444,10806,659315,True,1316,113718,3149,"[{'is_show': True, 'session_id': 7148088, 'view_count': 2, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-56091-7148088_spehqld.flv?auditkey=1.0~8z7xqDjNB39Rk6RmhzEv63E0i3RnnE73REhIAnncqOj8XuUmdogbOsyzmyEO4VHHqu8kE1QkXglllqnwXL8eaw~78fe518c37281f5c181641a52c2178a388e2c746779f4e16bafcdb6d176cda8b&cdnID=BAISHAN&expire_ts=1698900477', 'preview_image': 'vn-11134104-7qukw-lkc186vo2cv0fc'}]",False,1,,False
111639450,111641040,1698898624,False,"Quận Hà Đông, Hà Nội","{'portrait': 'e6340067687f1199533ab0a01243d8d9', 'username': 'patternvn', 'status': 1}",False,False,True,Hà Nội,102,4.879653,97,,Pattern,1544165276,6942,688015,True,1806,229057,4605,,False,1,,False
317477677,317497276,1698898673,False,"Quận Tân Phú, TP. Hồ Chí Minh","{'portrait': 'vn-11134216-7r98o-lna3o9jl4b5m32', 'username': 'levents.vn', 'status': 1}",False,False,True,TP. Hồ Chí Minh,287,4.925731,100,"{'is_show': True, 'session_id': 7153087, 'view_count': 32, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-1192237949011502-7153087_spehqld.flv?auditkey=1.0~c7XSea_iEiUR9hKnesrErtNiMQdDG4xje02I000sXn39navE_QfgmCiPj0KuCV0CDGje_bc3P9ad_2KVpfaMnnYPlKfJRu_u8XnXSVb8x20~398a578618977c6aa2214f3bf3f0247659a4878eccbe7ea221cea7c083056b55&cdnID=BAISHAN&expire_ts=1698900489', 'preview_image': 'vn-11134104-7r98o-lnivwlzx3ji2b9'}",Levents .vn,1601709344,1127,959019,True,1040,189058,2219,"[{'is_show': True, 'session_id': 7153087, 'view_count': 32, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-1192237949011502-7153087_spehqld.flv?auditkey=1.0~c7XSea_iEiUR9hKnesrErtNiMQdDG4xje02I000sXn39navE_QfgmCiPj0KuCV0CDGje_bc3P9ad_2KVpfaMnnYPlKfJRu_u8XnXSVb8x20~398a578618977c6aa2214f3bf3f0247659a4878eccbe7ea221cea7c083056b55&cdnID=BAISHAN&expire_ts=1698900489', 'preview_image': 'vn-11134104-7r98o-lnivwlzx3ji2b9'}]",False,1,,False
201774917,201778079,1698898569,False,"Quận Nam Từ Liêm, Hà Nội","{'portrait': 'vn-11134233-7qukw-ljq9dwnfkhs29d', 'username': 'guzado.vn', 'status': 1}",False,False,True,Hà Nội,174,4.911229,100,,Guzado Official,1574319543,5394,197305,True,348,108273,1353,,False,1,,False
59596762,59598192,1698898664,False,"Quận Bắc Từ Liêm, Hà Nội","{'portrait': '212507331730aa22e81bdb4f1ca1880c', 'username': 'thoitrangmando', 'status': 1}",False,False,True,Hà Nội,181,4.845097,98,,Thời Trang MANDO,1520407600,5376,578011,True,898,65601,1732,,False,1,,False
168678363,168680671,1698898676,False,"Quận Thanh Khê, Đà Nẵng","{'portrait': '8f891e11526201273ead5b04599800a7', 'username': 'tsimple_official', 'status': 1}",False,False,True,Đà Nẵng,60,4.931937,85,"{'is_show': True, 'session_id': 7130714, 'view_count': 6, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-847158055852544-7130714.flv?auditkey=1.0~phhW2Y9FvXlUPxJLO37-ustGNvvoQa-XI-AqA2UME66Ug6C1Wb_FJKhuyvh1gCme_8tjHzR_RJ6iKpP3v7vVnEQ6qRDvcKBVOpyCJRCLmkE~50e8c10daaae480a9278e137b08aa2ae5e7e245de85176b5a5c3593d2e2dbcf8&cdnID=BAISHAN&expire_ts=1698900507', 'preview_image': 'vn-11134104-7r98o-lktcfxpq6s6z2a'}",TSIMPLE_OFFICIAL,1565171632,9507,578870,True,409,125652,1436,"[{'is_show': True, 'session_id': 7130714, 'view_count': 6, 'session_url': 'https://play-bs-src.livestream.shopee.vn/live/vn-live-847158055852544-7130714.flv?auditkey=1.0~phhW2Y9FvXlUPxJLO37-ustGNvvoQa-XI-AqA2UME66Ug6C1Wb_FJKhuyvh1gCme_8tjHzR_RJ6iKpP3v7vVnEQ6qRDvcKBVOpyCJRCLmkE~50e8c10daaae480a9278e137b08aa2ae5e7e245de85176b5a5c3593d2e2dbcf8&cdnID=BAISHAN&expire_ts=1698900507', 'preview_image': 'vn-11134104-7r98o-lktcfxpq6s6z2a'}]",False,1,,False
92937520,92938999,1698898693,False,"Huyện Bình Chánh, TP. Hồ Chí Minh","{'portrait': '57342653dc9b639f5848dc52c99d94b0', 'username': 'owen.fashion', 'status': 1}",False,False,True,TP. Hồ Chí Minh,2199,4.889908,65,,Thời trang nam Owen,1538021574,9635,128033,True,237,24863,438,,False,1,,False
68988783,68990240,1698898700,False,"Huyện Thanh Trì, Hà Nội","{'portrait': 'd5cb29115595ccd28371aad96443f5ca', 'username': 'thoitrangbiluxury', 'status': 1}",False,False,True,Hà Nội,431,4.872907,99,"{'is_show': True, 'session_id': 7125642, 'view_count': 4, 'session_url': 'https://play-spe.livestream.shopee.vn/live/vn-live-37197-7125642.flv?auditkey=1.0~ZK0RAi2TVEVnDWedBH2jFS89UniibnTXcn-YGlmahjELGirfMajeQYpfPY1KxzDCadxT6jfGO2ejPe25qRJmfQ~4a883a89843f59587b3167d8ed9d3f1dfceed0d0ffd55180156dd5621d3798e3&cdnID=SHOPEE&expire_ts=1698900520', 'preview_image': 'vn-11134104-7r98o-lnjeuhfcwpruc3'}",Biluxury Official,1526007323,4975,434232,True,385,40617,837,"[{'is_show': True, 'session_id': 7125642, 'view_count': 4, 'session_url': 'https://play-spe.livestream.shopee.vn/live/vn-live-37197-7125642.flv?auditkey=1.0~ZK0RAi2TVEVnDWedBH2jFS89UniibnTXcn-YGlmahjELGirfMajeQYpfPY1KxzDCadxT6jfGO2ejPe25qRJmfQ~4a883a89843f59587b3167d8ed9d3f1dfceed0d0ffd55180156dd5621d3798e3&cdnID=SHOPEE&expire_ts=1698900520', 'preview_image': 'vn-11134104-7r98o-lnjeuhfcwpruc3'}]",False,1,,False
263713672,263716021,1698898697,False,"Quận Tân Phú, TP. Hồ Chí Minh","{'portrait': '3d9fae4544d1e0e5e0864bf9348b93c0', 'username': 'feaer_store', 'status': 1}",False,False,True,TP. Hồ Chí Minh,148,4.943842,100,"{'is_show': True, 'session_id': 7134384, 'view_count': 0, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-995369482229804-7134384.flv?auditkey=1.0~kv4HyVp_CUNFQ-mtrhUa3VXsXiYERLZiB9Z8rRlWv7ELmgP9syP7XC97RlQlSLGHcWGPhqeVyrMmZxn65CPutYaw-YBMRnxif-MrtFoHByk~c8a25d81574759a4b55ad5799ed484228fc50a624a1300f3e378018372504399&cdnID=HUAWEI&expire_ts=1698900526', 'preview_image': 'vn-11134104-7r98o-llf89rhb1rygff'}",FEAER STORE PREMIUM,1589786545,2848,391152,True,226,83848,705,"[{'is_show': True, 'session_id': 7134384, 'view_count': 0, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-995369482229804-7134384.flv?auditkey=1.0~kv4HyVp_CUNFQ-mtrhUa3VXsXiYERLZiB9Z8rRlWv7ELmgP9syP7XC97RlQlSLGHcWGPhqeVyrMmZxn65CPutYaw-YBMRnxif-MrtFoHByk~c8a25d81574759a4b55ad5799ed484228fc50a624a1300f3e378018372504399&cdnID=HUAWEI&expire_ts=1698900526', 'preview_image': 'vn-11134104-7r98o-llf89rhb1rygff'}]",False,1,,False
38038824,38040209,1698898441,False,"Huyện Quốc Oai, Hà Nội","{'portrait': '65cb86924244f081af1f5302483159a1', 'username': 'sukiyafashion.vn', 'status': 1}",False,False,True,Hà Nội,356,4.828244,97,,SUKIYA OFFICIAL STORE,1507554773,8377,231453,True,667,58414,1850,,False,1,,False
277366270,277371451,1698898570,False,"Quận Tân Bình, TP. Hồ Chí Minh","{'portrait': 'fe006e3b9e7519b5ec3fe179ba71e19a', 'username': '4menstores', 'status': 1}",False,False,True,TP. Hồ Chí Minh,319,4.89673,97,,4MEN OFFICIAL,1592898536,6156,181071,True,157,24458,431,,False,1,,False
70677296,70678757,1698898325,False,"Thành Phố Thủ Đức, TP. Hồ Chí Minh","{'portrait': '162f96f08e931a2f90762ac0d53d4fcc', 'username': 'haidang.fashion', 'status': 1}",False,False,True,TP. Hồ Chí Minh,111,4.71017,99,,BAO DANG fashion,1526980970,6279,55782,True,1668,75242,4248,,False,1,,False
1620236,1621428,1698898649,False,"Quận Tân Bình, TP. Hồ Chí Minh","{'portrait': 'f555edeb1ae0619c9dbe1accf2c33ce6', 'username': 'thoitrangnam4u', 'status': 1}",False,False,True,TP. Hồ Chí Minh,105,4.901233,96,,4U SHOP,1447146300,7155,73838,True,228,45175,721,,False,1,,False
17893078,17894414,1698898733,False,"Quận 12, TP. Hồ Chí Minh","{'portrait': '23c339f89db521cc328d80da20cbb899', 'username': 'thoitrangeverest', 'status': 1}",False,False,True,TP. Hồ Chí Minh,91,4.828329,100,"{'is_show': True, 'session_id': 7155490, 'view_count': 2, 'session_url': 'https://play-spe.livestream.shopee.vn/live/vn-live-57094-7155490.flv?auditkey=1.0~QddYIzQg9E6P9vgCExtCShdd28OnOObP53wb2097IfVl_4uKDrdarwKebNHo9xDITHfQdr2zDBx3OXHyRYfb5A~2cb9e1ddc68908d78d3afbf82f13f331b6fe433f9ee0ca8b6098bc0063f9c6a1&cdnID=SHOPEE&expire_ts=1698900557', 'preview_image': 'vn-11134104-7r98o-lnkyy32szq0qba'}",THỜI TRANG EVEREST,1489113926,4328,156717,True,1487,109686,3323,"[{'is_show': True, 'session_id': 7155490, 'view_count': 2, 'session_url': 'https://play-spe.livestream.shopee.vn/live/vn-live-57094-7155490.flv?auditkey=1.0~QddYIzQg9E6P9vgCExtCShdd28OnOObP53wb2097IfVl_4uKDrdarwKebNHo9xDITHfQdr2zDBx3OXHyRYfb5A~2cb9e1ddc68908d78d3afbf82f13f331b6fe433f9ee0ca8b6098bc0063f9c6a1&cdnID=SHOPEE&expire_ts=1698900557', 'preview_image': 'vn-11134104-7r98o-lnkyy32szq0qba'}]",False,1,,False
31522834,31524218,1698898686,False,"Quận Hà Đông, Hà Nội","{'portrait': '9f700ec5e7220f3478a6f8b1f0b0c9bc', 'username': 'kojibavn', 'status': 1}",False,False,True,Hà Nội,120,4.747979,96,,Kojiba Việt Nam,1503312623,10426,179577,True,1352,69489,3275,,False,1,,False
16649961,16651297,1698898136,False,"Thành Phố Thủ Đức, TP. Hồ Chí Minh","{'portrait': '835ce10e54aded827bdc1ccf490f33f8', 'username': 'hara.vn', 'status': 1}",False,False,True,TP. Hồ Chí Minh,500,4.799478,97,,HARAS VietNam - Official Store,1487169479,4667,167685,True,1358,96305,3664,,False,1,,False
296132807,296152160,1698898766,False,"Quận Bình Tân, TP. Hồ Chí Minh","{'portrait': '3a748a1c1df803896c405e5d78ad03b1', 'username': 'sges.clothing', 'status': 1}",False,False,True,TP. Hồ Chí Minh,292,4.904488,100,"{'is_show': True, 'session_id': 7132850, 'view_count': 2, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-1063340838638620-7132850_spehqld.flv?auditkey=1.0~awqYAJbVC4xu8UqX6031uzlawOx1GOjDI65OG0aiMDW5Uwd9yIAes251TOCl7By3Q9GxGXA5cayZCBLOGNUPbVWGPMqX24_srHXyI3xo_ok~0196f7ba96e360cc5328b00b6f956b870e99b7edac3aaaba1b43839ddc5383e5&cdnID=HUAWEI&expire_ts=1698900576', 'preview_image': 'ca8eca4cf0fece9b2ed64e1bb1585991'}",SAIGONESE.Clothing,1597288873,4428,278116,True,219,48937,753,"[{'is_show': True, 'session_id': 7132850, 'view_count': 2, 'session_url': 'https://play-hw-src.livestream.shopee.vn/live/vn-live-1063340838638620-7132850_spehqld.flv?auditkey=1.0~awqYAJbVC4xu8UqX6031uzlawOx1GOjDI65OG0aiMDW5Uwd9yIAes251TOCl7By3Q9GxGXA5cayZCBLOGNUPbVWGPMqX24_srHXyI3xo_ok~0196f7ba96e360cc5328b00b6f956b870e99b7edac3aaaba1b43839ddc5383e5&cdnID=HUAWEI&expire_ts=1698900576', 'preview_image': 'ca8eca4cf0fece9b2ed64e1bb1585991'}]",False,1,,False
257412160,257413403,1698898719,False,"Quận Gò Vấp, TP. Hồ Chí Minh","{'portrait': '40fdd0cce41c93a7a673898ad57df6f7', 'username': 'aremishop_2020', 'status': 1}",False,False,True,TP. Hồ Chí Minh,226,4.905944,97,,AREMI,1588564780,4664,95496,True,229,33452,520,,False,1,,False
